"","Team","n","avgScore"
"1",".Russia",55,0.981111111111111
"2","100 Thieves",740,1.09236111111111
"3","3DMAX",200,0.979473684210526
"4","5POWER",85,0.842352941176471
"5","aAa",60,0.800909090909091
"6","AGF",55,0.922727272727273
"7","AGO",2105,1.02015267175573
"8","ALTERNATE aTTaX",360,1.01185714285714
"9","Ambush",45,0.872222222222222
"10","Ancient",90,1.00944444444444
"11","ANOX",45,0.758571428571429
"12","Apeks",80,0.85
"13","Aristocracy",155,1.01258064516129
"14","Astralis",5460,1.14829891838741
"15","ATK",100,0.8945
"16","AVANGAR",1865,1.09050561797753
"17","AVANT",50,0.974
"18","AVEZ",50,0.803
"19","Bad News Bears",80,0.945
"20","BIG",3816,1.06274590163934
"21","Binary Dragons",55,0.861818181818182
"22","BOOT-d[S]",145,0.876428571428571
"23","Bpro",65,0.916923076923077
"24","Bravado",100,0.905555555555556
"25","c0ntact",195,0.931944444444444
"26","Chaos",555,1.02540540540541
"27","CHAOS",40,0.834
"28","Chiefs",175,0.9646875
"29","China",60,1.135
"30","CLG",1347,1.02330543933054
"31","Cloud9",4622,1.08684088269454
"32","Complexity",2685,1.02052529182879
"33","Copenhagen Flames",250,1.0032
"34","CR4ZY",695,1.07201492537313
"35","CSGO-MDL",55,1.24545454545455
"36","CyberZen",60,0.931666666666667
"37","Denial",35,0.856
"38","Denmark",110,1.168
"39","devils.one",60,0.995833333333333
"40","Dignitas",1660,1.05340909090909
"41","Divine",35,0.885714285714286
"42","Dobry&Gaming",45,1.09444444444444
"43","DreamEaters",140,0.983928571428571
"44","Echo Fox",386,0.997014925373134
"45","EHOME",40,0.815
"46","ENCE",2590,1.0593
"47","Endpoint",330,0.913125
"48","Envy",2911,1.05183520599251
"49","EnVyUs Academy",45,0.962222222222222
"50","Enyoy",50,1.0575
"51","EPG",65,0.855384615384615
"52","Epsilon",1165,1.02542288557214
"53","Escape",35,0.996
"54","Espada",120,0.9325
"55","eUnited",585,0.998695652173913
"56","EURONICS",130,0.936086956521739
"57","Evil Geniuses",1420,1.07883392226148
"58","ex-3DMAX",45,0.887777777777778
"59","ex-Epsilon",35,0.878571428571429
"60","ex-Space Soldiers",125,0.909130434782609
"61","ex-Winstrike",70,1.13357142857143
"62","expert",45,0.955555555555555
"63","eXtatus",95,1.04894736842105
"64","Extra Salt",35,0.972
"65","FATE",65,0.719230769230769
"66","FaZe",5505,1.09461909353905
"67","Fire Dragoon",40,0.8475
"68","Flash",55,0.931818181818182
"69","FlipSid3",1350,0.988073770491803
"70","fnatic",5031,1.06290758047767
"71","fnatic Academy",125,0.944090909090909
"72","forZe",2100,1.07076354679803
"73","Fragsters",425,0.969090909090909
"74","France",45,1.04444444444444
"75","fruits",35,0.857142857142857
"76","FunPlus Phoenix",235,0.982127659574468
"77","FURIA",2460,1.11269709543568
"78","G2",5440,1.08163583252191
"79","Gambit",3561,1.08796992481203
"80","Gambit Youngsters",265,1.01754716981132
"81","GameAgents",45,0.868888888888889
"82","GamerLegion",365,1.00875
"83","Gen.G",545,1.03180952380952
"84","Genuine",65,0.794166666666667
"85","Ghost",786,0.951140939597315
"86","Giants",65,0.954
"87","GODSENT",3131,1.05364888123924
"88","Grayhound",720,1.14292857142857
"89","Hard Legion",180,0.940277777777778
"90","HAVU",750,1.04406896551724
"91","HellRaisers",3241,1.06805825242718
"92","Heretics",325,0.936451612903226
"93","Heroic",5245,1.07490547263682
"94","iGame.com",170,0.954242424242424
"95","Illuminar",265,0.974705882352941
"96","Immortals",1775,1.13006116207951
"97","Imperial",495,1.10202247191011
"98","INTZ",250,0.905957446808511
"99","Isurus",90,0.81375
"100","Izako Boars",75,0.857333333333333
"101","Japaleno",185,0.949393939393939
"102","K23",190,1.06763157894737
"103","Kaliber",40,0.86
"104","Kinguin",1325,1.0577734375
"105","KOVA",40,0.79625
"106","Lazarus",55,0.867272727272727
"107","LDLC",1416,0.977888446215139
"108","Limitless",35,0.985714285714286
"109","Liquid",5911,1.11193923145666
"110","Luminosity",1455,0.973333333333333
"111","m1x",65,1.01153846153846
"112","MAD Lions",650,1.06196850393701
"113","MIBR",2640,1.07460038986355
"114","Misfits",620,1.03025862068966
"115","MK",250,1.08934782608696
"116","mousesports",5746,1.08630597014925
"117","Movistar Riders",350,0.994153846153846
"118","Muffin Lightning",70,0.903636363636364
"119","MVP PK",260,0.894615384615385
"120","MVP Project",85,0.873846153846154
"121","Mythic",70,0.806428571428571
"122","NASR",40,0.686666666666667
"123","Natus Vincere",4756,1.10108407079646
"124","Nemiga",556,0.983055555555556
"125","New England Whalers",65,0.958461538461538
"126","Nexus",55,0.941818181818182
"127","NIP",5020,1.06392670157068
"128","NoChance",95,0.962105263157895
"129","NokSuKao",40,0.91125
"130","Nordavind",170,0.925806451612903
"131","NOREG",45,0.945
"132","North",3748,1.06431129476584
"133","North Academy",60,0.991666666666667
"134","NRG",2775,1.08281663516068
"135","OG",1395,1.07098901098901
"136","OpTic",3501,1.07020249221184
"137","Orbit",130,1.08545454545455
"138","ORDER",105,0.866
"139","Orgless",35,0.834285714285714
"140","Outlaws",40,0.895
"141","ownage",45,1.04142857142857
"142","PACT",200,0.963513513513514
"143","paiN",115,0.953684210526316
"144","passions",61,1.02545454545455
"145","PENTA",561,1.03815533980583
"146","Playing Ducks",35,0.965714285714286
"147","Preparation",65,0.934615384615385
"148","PRIDE",350,0.938196721311475
"149","pro100",220,0.904634146341463
"150","Quantum Bellator Fire",455,0.974047619047619
"151","RBG",40,0.8425
"152","Rebirth",40,0.74875
"153","Red Reserve",266,1.00867924528302
"154","Renegades",3092,1.04989778534923
"155","Riot Squad",50,0.902
"156","Rise Nation",35,0.881428571428571
"157","Rogue",536,0.982020202020202
"158","Rugratz",50,0.956
"159","Rush",70,0.815
"160","Russia",90,1.0025
"161","SAW",315,0.995409836065574
"162","SCARZ Absolute",55,0.842727272727273
"163","Secret",45,0.962222222222222
"164","Seed",40,0.87625
"165","Selfless",245,0.861190476190476
"166","Sharks",135,0.924074074074074
"167","Singapore",45,0.865714285714286
"168","Singularity",420,0.955657894736842
"169","Sinners",60,1.01583333333333
"170","SJ",155,0.882666666666667
"171","SK",2941,1.14343173431734
"172","SKADE",85,0.992941176470588
"173","SMASH",90,0.915
"174","Space Soldiers",2118,1.11555555555556
"175","Spacestation",75,0.889333333333333
"176","Spirit",2042,1.06724489795918
"177","Splyce",270,0.862037037037037
"178","Sprout",1595,1.06128205128205
"179","Swole Patrol",175,0.8890625
"180","Syman",140,1.00428571428571
"181","Tainted Minds",35,0.78
"182","Team123",60,1.14142857142857
"183","TeamOne",400,0.918289473684211
"184","Tempo Storm",140,1.09454545454545
"185","Tengri",150,0.940740740740741
"186","TheMongolz",70,0.908333333333333
"187","Torqued",101,0.936
"188","Tricked",1040,1.05759162303665
"189","Triumph",255,0.936274509803922
"190","TSM",430,1.00461538461538
"191","Turkey",40,1.05
"192","TYLOO",2100,1.08325870646766
"193","Ukraine",85,1.18529411764706
"194","Unicorns of Love",50,0.778888888888889
"195","Unique",80,0.9275
"196","Valiance",880,1.10761627906977
"197","Vega Squadron",660,0.976910569105691
"198","VG.CyberZen",420,1.04234567901235
"199","VG.Flash",70,0.914285714285714
"200","ViCi",250,0.9452
"201","Virtus.pro",4646,1.03754890678941
"202","Vitality",2680,1.09876923076923
"203","VOYVODA",40,0.93
"204","W7M",40,0.76875
"205","Windigo",1170,1.0425
"206","Winstrike",420,0.961951219512195
"207","Winterfox",105,0.911428571428571
"208","Wisla Krakow",140,0.911785714285714
"209","Wizards",55,0.908888888888889
"210","Wololos",45,1.00777777777778
"211","Worst Players",55,1.04375
"212","X",250,1.1336170212766
"213","x-kom",110,0.9
"214","x6tence",45,0.854444444444444
"215","x6tence Galaxy",75,0.917333333333333
"216","Yeah",80,0.915
